Date,Day,Month,Quarter,Year,Open,High,Low,Close,Adj Close,Volume
7/27/2023,Thursday,July,Q3,2023,100.400002,100.449997,98.099998,98.599998,95.599998,16349608
7/26/2023,Wednesday,July,Q3,2023,99.849998,100.199997,98.849998,99.599998,96.569572,14912431
7/25/2023,Tuesday,July,Q3,2023,99.949997,100.25,98.699997,99,95.987831,11983867
7/24/2023,Monday,July,Q3,2023,99.800003,100.699997,99.5,99.849998,96.811966,19073238
7/21/2023,Friday,July,Q3,2023,98.849998,99.849998,98.599998,99.349998,96.327179,18598910
7/20/2023,Thursday,July,Q3,2023,98.699997,99.300003,98.449997,98.75,95.745438,8940131
7/19/2023,Wednesday,July,Q3,2023,98,99.050003,97.699997,98.25,95.260651,15283446
7/18/2023,Tuesday,July,Q3,2023,98.050003,98.400002,97.199997,97.599998,94.630424,9527821
7/17/2023,Monday,July,Q3,2023,97.400002,97.900002,96.900002,97.349998,94.388031,19126927
7/14/2023,Friday,July,Q3,2023,96.5,97.650002,95.800003,96.599998,93.660851,24048036
7/13/2023,Thursday,July,Q3,2023,98.400002,98.699997,96,96.199997,93.273018,11491737
07-12-2023,Wednesday,July,Q3,2023,98.25,99.349998,97.699997,97.900002,94.921303,14979586
07-11-2023,Tuesday,July,Q3,2023,97.800003,98.900002,96.900002,98.099998,95.115211,17508261
07-10-2023,Monday,July,Q3,2023,101,101.449997,97.099998,97.400002,94.436516,24042759
07-07-2023,Friday,July,Q3,2023,99.449997,101.25,98.800003,99.199997,96.18174,37546405
07-06-2023,Thursday,July,Q3,2023,96,98.800003,96,98.599998,95.599998,32778334
07-05-2023,Wednesday,July,Q3,2023,95.150002,95.699997,93.400002,95.5,92.594322,14283796
07-04-2023,Tuesday,July,Q3,2023,96,96.400002,94.349998,94.650002,91.770187,11918401
07-03-2023,Monday,July,Q3,2023,91.599998,96.099998,91.300003,95.25,92.351929,32972732
6/30/2023,Friday,June,Q2,2023,90.949997,91.949997,90.650002,91.300003,88.52211,12595671
6/28/2023,Wednesday,June,Q2,2023,89.349998,89.349998,89.349998,89.349998,86.631439,0
6/27/2023,Tuesday,June,Q2,2023,89.75,90.5,88.900002,89.349998,86.631439,10668117
6/26/2023,Monday,June,Q2,2023,89.300003,89.949997,88.699997,89.550003,86.825356,10963542
6/23/2023,Friday,June,Q2,2023,92.300003,92.400002,88.849998,89.300003,86.582962,18134295
6/22/2023,Thursday,June,Q2,2023,92,92.849998,91.75,92,89.200813,9694937
6/21/2023,Wednesday,June,Q2,2023,91.949997,92.849998,91.699997,92,89.200813,9499893
6/20/2023,Tuesday,June,Q2,2023,91.900002,92.599998,91.300003,91.900002,89.103859,9394894
6/19/2023,Monday,June,Q2,2023,92.150002,92.849998,91.650002,91.900002,89.103859,6800507
6/16/2023,Friday,June,Q2,2023,93,93.199997,91.900002,92.150002,89.346252,15146569
6/15/2023,Thursday,June,Q2,2023,93.300003,93.699997,92.599998,92.900002,90.073433,8742159
6/14/2023,Wednesday,June,Q2,2023,92.199997,93.5,92,93.150002,90.315826,19246845
6/13/2023,Tuesday,June,Q2,2023,92.849998,93.099998,91.699997,91.900002,89.103859,19796495
06-12-2023,Monday,June,Q2,2023,90.699997,92,90.199997,91.849998,89.055374,10813997
06-09-2023,Friday,June,Q2,2023,90.199997,91.650002,90.150002,90.300003,87.552536,9921823
06-08-2023,Thursday,June,Q2,2023,90.75,90.849998,89.699997,90.050003,87.310143,10809055
06-07-2023,Wednesday,June,Q2,2023,89.550003,91.099998,89.5,90.849998,88.0858,11403972
06-06-2023,Tuesday,June,Q2,2023,89.400002,89.800003,88.849998,89.400002,86.679916,5740801
06-05-2023,Monday,June,Q2,2023,89.900002,90,88.650002,89.25,86.534485,9227005
06-02-2023,Friday,June,Q2,2023,90.5,90.900002,89.699997,89.800003,87.067749,7123634
06-01-2023,Thursday,June,Q2,2023,90.5,91.150002,89.900002,90.5,87.746452,11770478
5/31/2023,Wednesday,May,Q2,2023,90.400002,91.400002,89.550003,90,87.261665,17157711
5/30/2023,Tuesday,May,Q2,2023,90,90.949997,89.800003,90.300003,87.552536,9269698
5/29/2023,Monday,May,Q2,2023,90.300003,90.449997,89.400002,90.050003,87.310143,6891927
5/26/2023,Friday,May,Q2,2023,89.199997,90.300003,89,90.199997,87.455574,9846321
5/25/2023,Thursday,May,Q2,2023,89.849998,89.849998,88.599998,89.150002,86.437523,9684940
5/24/2023,Wednesday,May,Q2,2023,89.099998,89.900002,88.75,89.650002,86.92231,19866440
5/23/2023,Tuesday,May,Q2,2023,87.449997,89.900002,86.75,89,86.292091,27392800
5/22/2023,Monday,May,Q2,2023,86.050003,87.300003,85.300003,87.150002,84.498375,9226502
5/19/2023,Friday,May,Q2,2023,86,86.25,84.800003,86.050003,83.431847,11201198
5/18/2023,Thursday,May,Q2,2023,87.599998,87.75,85.800003,86,83.383369,16119484
5/17/2023,Wednesday,May,Q2,2023,87.800003,88.599998,87.300003,87.550003,84.886208,20861152
5/16/2023,Tuesday,May,Q2,2023,85.400002,87.650002,85,87,84.352943,44298431
5/15/2023,Monday,May,Q2,2023,83.800003,84.550003,83.550003,84.199997,81.63813,7167177
05-12-2023,Friday,May,Q2,2023,83.849998,84.150002,83.349998,83.550003,81.007912,4700410
05-11-2023,Thursday,May,Q2,2023,84.300003,84.449997,83.800003,83.949997,81.395737,4455253
05-10-2023,Wednesday,May,Q2,2023,84.5,84.599998,83.849998,84.25,81.686615,7349573
05-09-2023,Tuesday,May,Q2,2023,83.75,84.300003,83.5,84,81.444221,7286472
05-08-2023,Monday,May,Q2,2023,83,83.449997,82.400002,83.25,80.717041,6051050
05-05-2023,Friday,May,Q2,2023,83.300003,83.449997,82.400002,82.800003,80.280731,5895640
05-04-2023,Thursday,May,Q2,2023,83.099998,84.5,82.900002,83.300003,80.765518,15811123
05-03-2023,Wednesday,May,Q2,2023,82.449997,83.599998,82.449997,82.699997,80.183769,12067736
05-02-2023,Tuesday,May,Q2,2023,81.75,82.699997,81.400002,82.150002,79.650505,11768608
4/28/2023,Friday,April,Q2,2023,80.949997,81.550003,80.400002,81.400002,78.923325,11996476
4/27/2023,Thursday,April,Q2,2023,78.550003,80.75,78.550003,80.449997,78.002228,17036886
4/26/2023,Wednesday,April,Q2,2023,78.349998,78.849998,78.150002,78.449997,76.06308,5090493
4/25/2023,Tuesday,April,Q2,2023,78.25,78.849998,78.050003,78.449997,76.06308,4656411
4/24/2023,Monday,April,Q2,2023,78.300003,78.599998,77.949997,78.25,75.869171,7060879
4/21/2023,Friday,April,Q2,2023,78.75,78.75,77.849998,78.25,75.869171,5001767
4/20/2023,Thursday,April,Q2,2023,78.900002,79.099998,78.099998,78.199997,75.820686,7789377
4/19/2023,Wednesday,April,Q2,2023,77.949997,78.75,77.699997,78.550003,76.160042,7940271
4/18/2023,Tuesday,April,Q2,2023,77.199997,78.099998,77.199997,78,75.626778,5096362
4/17/2023,Monday,April,Q2,2023,77.199997,77.449997,76.800003,77.25,74.899597,7736935
4/13/2023,Thursday,April,Q2,2023,78,78.150002,77,77.199997,74.851112,6411454
04-12-2023,Wednesday,April,Q2,2023,77.900002,78.199997,77.550003,78,75.626778,4182972
04-11-2023,Tuesday,April,Q2,2023,77.800003,78.099998,77.650002,77.900002,75.529816,2998570
04-10-2023,Monday,April,Q2,2023,77.699997,78.199997,77.400002,77.800003,75.432861,5706517
04-06-2023,Thursday,April,Q2,2023,77.150002,77.849998,76.900002,77.699997,75.335899,5063531
04-05-2023,Wednesday,April,Q2,2023,78.050003,78.25,77,77.150002,74.802635,6867318
04-03-2023,Monday,April,Q2,2023,77.25,78.25,76.900002,77.5,75.141991,11416090
3/31/2023,Friday,March,Q1,2023,77.300003,78.349998,77.199997,77.900002,75.529816,9748505
3/29/2023,Wednesday,March,Q1,2023,76.849998,77.550003,76.650002,76.900002,74.560242,9921198
3/28/2023,Tuesday,March,Q1,2023,76.900002,77.400002,75.75,76.900002,74.560242,7446988
3/27/2023,Monday,March,Q1,2023,78,78.400002,76.75,77.099998,74.754158,4845906
3/24/2023,Friday,March,Q1,2023,78.849998,79.199997,78,78.400002,76.014603,10269895
3/23/2023,Thursday,March,Q1,2023,79.349998,79.599998,78.800003,79,76.596352,7065528
3/22/2023,Wednesday,March,Q1,2023,79.800003,79.949997,79.099998,79.599998,77.178093,8162089
3/21/2023,Tuesday,March,Q1,2023,80.800003,81.150002,79.300003,79.550003,77.129616,9942587
3/20/2023,Monday,March,Q1,2023,79.199997,80.699997,78.699997,80.599998,78.147667,18090005
3/17/2023,Friday,March,Q1,2023,80.599998,80.849998,78.849998,79.300003,76.887222,22904016
3/16/2023,Thursday,March,Q1,2023,79,80.449997,78.75,79.900002,77.468964,27348566
3/15/2023,Wednesday,March,Q1,2023,78.25,79.050003,78,78.599998,76.208519,8183051
3/14/2023,Tuesday,March,Q1,2023,77.849998,78.099998,77.25,77.699997,75.335899,8316642
3/13/2023,Monday,March,Q1,2023,78.5,78.900002,77.650002,77.800003,75.432861,7151999
03-10-2023,Friday,March,Q1,2023,78.5,79.25,77.5,78.900002,76.49939,6305111
03-09-2023,Thursday,March,Q1,2023,79.300003,79.449997,78.550003,78.699997,76.305473,6135751
03-08-2023,Wednesday,March,Q1,2023,78.75,79.349998,78.5,79.199997,76.79026,5969771
03-06-2023,Monday,March,Q1,2023,78.300003,79.800003,78.050003,79.25,76.838745,8582554
03-03-2023,Friday,March,Q1,2023,78.150002,78.449997,77.699997,78.199997,75.820686,5522499
03-02-2023,Thursday,March,Q1,2023,77,78.150002,76.800003,77.900002,75.529816,5273986
03-01-2023,Wednesday,March,Q1,2023,76,77.199997,75.849998,76.949997,74.608719,6694749
2/28/2023,Tuesday,February,Q1,2023,76.900002,77.050003,75.800003,76.050003,73.736107,10000095
2/27/2023,Monday,February,Q1,2023,77.349998,77.400002,76.199997,76.849998,74.511765,6945215
2/24/2023,Friday,February,Q1,2023,77.5,77.650002,77.099998,77.349998,74.996552,6103178
2/23/2023,Thursday,February,Q1,2023,77.699997,77.900002,76.75,77.199997,74.851112,6290065
2/22/2023,Wednesday,February,Q1,2023,78.650002,78.800003,77.099998,77.300003,74.948074,9878001
2/21/2023,Tuesday,February,Q1,2023,80,80.25,79,79.199997,76.79026,4633296
2/20/2023,Monday,February,Q1,2023,80.699997,80.949997,79.300003,79.550003,77.129616,6867570
2/17/2023,Friday,February,Q1,2023,79.900002,81.050003,79.599998,80.550003,78.09919,9145422
2/16/2023,Thursday,February,Q1,2023,79.849998,80.050003,79.199997,79.800003,77.372009,8603036
2/15/2023,Wednesday,February,Q1,2023,78.449997,79.75,78.449997,79.5,77.081139,3686045
2/14/2023,Tuesday,February,Q1,2023,79.449997,79.849998,78.650002,79.150002,76.741783,5013825
2/13/2023,Monday,February,Q1,2023,80,80.25,79.25,79.5,77.081139,6470826
02-10-2023,Friday,February,Q1,2023,79.650002,80.449997,79.5,79.800003,77.372009,6286269
02-09-2023,Thursday,February,Q1,2023,79.199997,80.699997,78.900002,79.599998,77.178093,8609974
02-08-2023,Wednesday,February,Q1,2023,79,79.400002,78.300003,79.25,76.838745,6093832
02-07-2023,Tuesday,February,Q1,2023,79.25,79.75,78.650002,79.050003,76.644829,6876198
02-06-2023,Monday,February,Q1,2023,78.5,79.599998,78.099998,79.25,76.838745,9507602
02-03-2023,Friday,February,Q1,2023,78.900002,78.900002,76.900002,78.449997,76.06308,11116563
02-02-2023,Thursday,February,Q1,2023,79.599998,80,78.150002,78.550003,76.160042,10817457
